Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,103900,1,8900,9.37,93900,114800,93000,1296082,136946162850,1215297000500,11696795,KSQ
229640,KR7229640008,LS에코에너지,KOSPI,,39550,1,950,2.46,39400,40550,38950,282382,11215390900,1211213964450,30624879,STK
100090,KR7100090000,SK오션플랜트,KOSPI,,19220,1,60,0.31,19100,19590,19100,304588,5887238820,1200829639380,62478129,STK
204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,20700,1,100,0.49,20500,21000,20200,356011,7351788250,1197463246200,57848466,KSQ
232140,KR7232140004,와이씨,KOSDAQ,우량기업부,14580,1,160,1.11,14550,14690,14310,501543,7273553880,1196221203000,82045350,KSQ
004000,KR7004000006,롯데정밀화학,KOSPI,,46250,1,950,2.1,45050,46500,45050,80108,3687112150,1193250000000,25800000,STK
185750,KR7185750007,종근당,KOSPI,,86400,1,2700,3.23,84100,86500,84100,48370,4145788550,1192560192000,13802780,STK
032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,7090,2,-1300,-15.49,8390,8490,6950,33724247,264736092170,1182305641100,166756790,KSQ
285130,KR7285130001,SK케미칼,KOSPI,,68100,1,1200,1.79,67000,69000,66800,57677,3899644900,1178045964600,17298766,STK
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,50600,1,3100,6.53,47550,50700,47400,505278,25004872025,1174341295600,23208326,KSQ
249420,KR7249420001,일동제약,KOSPI,,36900,1,800,2.22,36500,37350,36100,548391,20159372500,1167451498800,31638252,STK
003530,KR7003530003,한화투자증권,KOSPI,,5440,1,530,10.79,4985,5550,4980,14286356,76151648890,1167139896000,214547775,STK
006120,KR7006120000,SK디스커버리,KOSPI,,62800,1,400,0.64,63000,63400,60200,18586,1164250050,1152245294000,18347855,STK
319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,39750,1,100,0.25,39900,39950,38750,374775,14745409300,1151426881500,28966714,KSQ
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,39300,1,1500,3.97,37850,39400,37450,383565,14780422800,1149790117800,29256746,KSQ
000815,KR7000811000,삼성화재우,KOSPI,,370000,1,1000,0.27,369500,371000,367500,10619,3921979000,1146818700000,3099510,STK
